,Copenhagen,Aarhus,Odense,Helsinki,Espoo,Tampere,Vantaa,Oulu,Rovaniemi,Turku,Stockholm,Gothenburg,Malmö,Uppsala,Västerås,Örebro,Linköping,Jönköping,Umeå,Östersund,Arjeplog,Luleå,Kiruna,Oslo,Bergen,Stavanger,Trondheim,Drammen,Fredrikstad,Kristiansand,Tromsø,Tønsberg,Hamar,Mo,Bodø,Harstad,Narvik,Alta,Kirkenes,Longyearbyen
Copenhagen,0.0,0.898960519922628,5.766966507125313,15.536612724200957,1.0152098604076585,0.1312286331479292,0.992369544178667,37.44887201004496,0.2286785718534543,1.5335926415894985,19.33848686815974,27.93108000835183,14.108280929483028,0.3357946798318894,0.3377159762570283,0.1595740523734264,0.3875804757044612,1.335154382278157,1.765747411450146,1.6319688574705005,1.3765659335514786,8.865115219388594,0.5925911436659806,15.843240636286414,13.748493123916743,23.02519808984031,23.74438352078854,0.7266342308387982,0.7205025342981434,1.6605400838540412,32.625249691189,0.6294357467278764,1.8293011188690531,1.906573733664962,16.43598897105143,17.40487320775692,1.0211556237754784,1.8834192088166737,1.7551124776217768,0.2230845659155078
Aarhus,0.7976068716774041,0.0,1.1156749557045482,1.0162022956520491,0.4038488745150475,1.7204572069129462,1.360342750333738,1.6790585822065711,1.7203532731119549,1.5017445902581648,0.8896369904744403,1.2288825749305403,0.3375235041170914,1.3538179266003172,0.3749214463637759,1.3940201892101105,0.4746043582928579,0.2527515742974355,0.3472632904830557,0.0239444277337591,1.44310444334999,1.4701540771355903,1.0395680328282535,0.3394983460896597,0.1854375882711657,0.0578753535458282,0.348181390391137,1.7838939592666303,0.4982429465693299,0.721457227890087,0.2285840592730396,0.4602753834013772,1.048064650144806,1.223350312529392,0.5057975820490979,0.134309675265732,0.7942450808722493,0.4837226744341416,0.4547167679950079,1.9205283493726413
Odense,26.57051700740034,1.12261931748075,0.0,19.552128623316268,0.8693097801916857,1.0909919075994,1.3989310179314924,29.57511336636403,0.3599539372567901,1.0102232491117211,19.418533326193568,35.468443819428444,27.099662242643173,1.074358051503644,0.2484813915142563,1.2191630208603548,0.2520637332468621,0.6876690196201891,0.3028270903323771,1.3903058211082504,0.4283791853955822,18.71507806158091,1.7934360596851815,12.15107341896396,22.77317723855727,19.67450814081077,5.634341436600541,1.5896610648741694,0.1567108945029074,0.959024941534368,24.62374032286325,1.2642843840968825,1.3834906260295936,0.5214793193749758,5.349257183045728,30.32052818242192,1.0806000667082056,1.6755130523503523,1.6463489585433746,1.689785812220009
Helsinki,21.978313099283906,0.680584223756994,32.704537090697954,0.0,0.9135623437979248,0.3832155488788003,1.7128485587317193,35.88959568703216,0.9432933171575368,0.1698854600733791,18.573913147092597,33.12381808119112,36.562090999118,0.4228760301452398,0.1526077518100376,1.7571538972030205,0.7910217791781731,1.0926867092497752,1.9367703078605027,0.1517981612701612,1.3036696547551492,7.593689790120347,0.7634284783636708,33.13350908177064,20.171528146447205,39.90138238660327,24.56707497313108,0.6559010622191879,0.4558204252914112,0.7140306578866004,18.03866458158428,0.1560530818934427,0.7517569148650108,0.9391922690836654,30.29582132835816,27.98553196525628,1.4233559973537253,0.036560090116177,0.4509814511694613,1.330134891031716
Espoo,0.9782989489958992,0.0305206818233249,1.6128993920150083,1.550162955114868,0.0,1.105869942727254,0.1515973850370187,1.5376997980745175,1.1757529037081007,1.568280754772759,1.508459044943764,1.6099441024765175,1.045655971481157,0.2978425460231597,1.3488917972917835,1.248538094402902,1.4896613106541927,0.3563643919804559,0.4060508958025726,1.7830108440942705,1.5049560409351002,1.8182924076266396,1.522256335904563,1.2023675058607977,1.3151828193151898,1.7804732894012196,1.1660373739336425,1.2721348221702071,0.3298238976871291,0.9583640158298834,1.438466281677036,0.5564665426664035,0.4204632774385791,0.6413770802843428,0.4981712434258102,0.4455270213320638,0.8612046688788122,1.8175202574893976,1.0239781005426625,0.3920823540143396
Tampere,0.1724039053741306,1.398389167373092,0.7779415535840479,1.6472252742390114,1.325831321908725,0.0,1.5965580720719097,0.5584531580485286,1.3908706664728951,0.5428427296935632,1.8793555893115772,1.2800210774360814,0.6625333643471774,0.5536334873386999,0.3980346384418541,1.395389098609581,0.453056913735896,1.1987004665364285,0.5439773533122075,1.3306985106918598,1.6335806625102676,1.5604899814264133,1.526485635242948,0.3916903632706591,0.195002195029347,1.4039186804050234,0.7493274833128156,0.8760455282786277,0.0816752037309143,0.5339613695645974,0.0866792796714387,1.7607878297504704,0.5019254327726903,1.123527595754556,0.0971790549090382,1.340357834785203,0.6595941445931058,1.7978799901761784,1.7784740140893909,0.6640754243562607
Vantaa,1.8039025734671263,1.992392193527582,1.6543230149654171,1.6928452685553534,0.513037297495998,1.1618707497383576,0.0,0.1531667096553883,0.207937514906906,1.9978073718259155,0.6667457138633037,1.5014041458567158,1.6171968049930965,1.718886076594314,1.99530402885627,0.4981630408085983,0.0998946371822054,0.8341592056292803,0.277559726261315,0.0644032605408691,0.7336451177401425,1.571801737128968,1.1410377686256403,0.639300418636501,1.315597170875585,0.4793959970114452,0.0484752632227283,1.5334197051441265,1.255011308030738,1.5293591965119009,0.0970972730415779,1.6774968631046914,1.2466618760718806,1.1355227944110275,1.2567358152667725,1.7315778287993608,1.182134282986636,1.170281752178595,1.9815447309902163,1.5183257307957647
Oulu,20.48028319078973,1.420646060065197,18.6230665092126,13.010641186922465,1.2017667162377637,1.857800554265624,1.859696249630616,0.0,0.6969724506488708,1.064801383118956,12.40725644994514,39.84708883246092,39.33912677537775,1.3060276808207458,1.612739838161397,1.435898319341726,1.194453273698147,0.1256290340380174,0.920433398254269,1.356076878291473,1.3615125954896956,18.059291644783425,1.8845501335829005,10.857496128287334,22.51258061754462,29.1809391792788,29.39975320621332,1.3043051344022547,0.5650706626346831,0.3292890059995115,27.25791143893488,1.2066181899560868,0.3751249003726971,1.4161755082297154,20.931019710677973,28.371620706110352,1.6779868179448985,0.3560622885823079,0.0579068386337366,1.562623121063658
Rovaniemi,1.2272009018021797,1.405286347851801,1.6795468504775122,1.609565650952511,1.9226218909190729,1.081151456127194,0.9872213526666126,0.8157366557836455,0.0,0.324308264831525,1.1537623211064043,0.568484798165438,1.8441888741816916,1.1747177924686532,1.193823557406058,0.7227508285364799,0.1229389169158608,0.0828526554385174,0.8582035854233311,0.1874394486325309,1.2215569719694754,1.7643265511665216,1.76817133670707,1.3249099120618202,0.4382390263164034,1.7287337260905666,1.7744650019201522,0.4093740982068583,1.480103649825941,0.5873087068757035,1.6092278184588007,1.994531041809133,0.0794514905521977,1.7967844142660452,1.252808456525343,1.947297585946346,0.9407188447023268,1.69782810253132,0.1435402558245889,0.6838525191550255
Turku,0.1526927447473957,1.95117940428856,1.6376083363982368,1.7080438940670215,1.8771711582391104,0.188504902517175,0.7834832331764001,0.1606490803071242,0.4373703410690567,0.0,0.4741442385345912,0.9488322778742058,0.5517530915582123,0.2199366514991669,0.3516323564063333,0.31160561583314,1.9466920598663504,1.5233991636985778,1.9361677012337328,0.8906861632856589,0.5711695936920601,1.6006205304741896,0.6659827577214706,0.6127790799365896,0.4803618645715057,0.276764376883986,0.5277968608131967,0.7235331019782977,1.3545085321285462,0.1438783875945141,0.4368037405373791,1.6218668077775191,0.3109054086958661,0.6984373901145926,1.7320246652791174,0.3267521160640165,0.183818934524016,0.9793852302584216,0.6187906323315021,1.1355485616780312
